,最終案,試験,最終課題,週次課題提出率,小テスト（作成）,小テスト（読解）
1,91,92.17,73,73.33,90.91,90.91
2,65,53.7,63,65,36.36,72.73
3,85,82.53,64.5,96.67,90.91,90.91
4,66,59.04,57,66.67,54.55,72.73
5,73,59.64,69,65,72.73,90.91
6,98,100,74,98.33,90.91,100
7,2,0,0,8.33,9.09,9.09
8,90,91.57,70,76.67,90.91,90.91
9,81,80.12,61,83.33,90.91,90.91
10,85,76.51,70.5,90,90.91,90.91
11,30,33.73,0,78.33,63.64,63.64
12,81,75.9,61,100,90.91,90.91
13,65,63.25,46,66.67,90.91,90.91
14,96,84.94,88,88.33,90.91,90.91
15,85,74.7,74,83.33,90.91,90.91
16,75,62.65,64,80,90.91,90.91
17,57,62.65,59.5,6.67,0,18.18
18,28,42.17,0,16.67,63.64,72.73
19,80,95.78,58,53.33,54.55,54.55
20,98,96.39,79,90,90.91,90.91
21,80,72.89,61,100,90.91,90.91
22,101,81.33,100.5,100,90.91,90.91
23,105,98.19,94.5,90,90.91,90.91
24,73,100,49,31.67,18.18,18.18
25,54,24.1,54,98.33,81.82,81.82
26,88,78.92,76,85,90.91,90.91
27,11,0,0,38.33,63.64,72.73
28,93,95.18,67,100,90.91,90.91
29,13,0,0,51.67,72.73,72.73
30,68,49.4,62.5,81.67,90.91,90.91
31,114,100,107,100,100,100
32,50,60.84,16,61.67,90.91,81.82
33,77,84.94,50,71.67,90.91,90.91
34,3,0,0,13.33,0,18.18
35,87,75.9,76,86.67,90.91,90.91
36,71,57.23,59.5,98.33,81.82,81.82
37,60,78.31,24,60,63.64,90.91
38,88,92.77,60,95,90.91,90.91
39,89,93.98,62,90,90.91,90.91
40,72,66.05,61,55,90.91,90.91
41,100,98.8,81,93.33,90.91,90.91
42,76,74.1,62,56.67,72.73,90.91
43,74,57.23,64,98.33,81.82,90.91
44,79,57.23,79,81.67,90.91,90.91
45,79,81.93,59,58.33,90.91,90.91
46,67,71.08,55,20,63.64,90.91
47,60,56.63,38,81.67,90.91,90.91
48,68,57.83,58,75,72.73,81.82
49,81,60.24,77.5,98.33,90.91,90.91
50,70,66.27,46,95,90.91,90.91
51,78,52.41,86.5,68.33,90.91,81.82
52,66,60.24,53,63.33,81.82,90.91
53,50,50.6,57.5,0,0,9.09
54,6,0,0,23.33,36.36,36.36
55,66,46.99,64.5,81.67,63.64,72.73
56,75,68.67,59.5,95,72.73,81.82
57,66,94.58,7.5,100,90.91,90.91
58,58,86.75,18,8.33,90.91,90.91
59,7,0,0,16.67,27.27,63.64
60,55,27.71,58,73.33,81.82,90.91
61,74,84.34,37.5,96.67,90.91,90.91
62,69,59.04,54,83.33,90.91,90.91
63,90,100,84,31.67,36.36,36.36
64,71,65.06,78.5,26.67,36.36,36.36
65,84,89.16,62,65,90.91,90.91
66,86,100,53,71.67,90.91,100
67,86,79.52,70,95,90.91,90.91
68,76,73.49,54,93.33,90.91,90.91
69,14,0,0,56.67,81.82,81.82
70,61,74.7,32,48.33,54.55,90.91
71,70,78.31,62,13.33,18.18,81.82
72,92,93.98,72,100,63.64,63.64
73,68,54.7,81,30,36.36,36.36
74,95,93.98,75,98.33,90.91,90.91
75,92,98.8,68,73.33,90.91,90.91
76,98,95.78,80.5,95,81.82,90.91
77,102,91.57,105,71.67,63.64,63.64
78,93,97.59,72,73.33,90.91,90.91
79,71,59.04,57.5,100,72.73,90.91
80,72,73.49,58,45,72.73,81.82
81,54,65.06,52,0,0,18.18
82,79,71.08,63,93.33,90.91,90.91
83,114,98.8,110.5,100,90.91,90.91
84,87,78.31,71,100,90.91,90.91
85,79,77.11,55,100,90.91,90.91
86,104,97.59,89.5,100,90.91,90.91
87,74,51.81,74,88.33,72.73,81.82
88,66,58.43,52.5,63.33,90.91,90.91
89,94,98.19,68,100,90.91,90.91
90,83,91.57,54,86.67,72.73,90.91
91,0,0,0,0,0,0
92,39,43.37,42,0,0,0
93,93,77.11,86,98.33,90.91,90.91
94,33,44.58,0,70,54.55,54.55
95,98,98.8,80,75,90.91,90.91
96,92,96.39,68,86.67,90.91,90.91
97,99,96.91,90,86.67,54.55,63.64
98,79,93.98,39,100,81.82,100
99,83,71.08,75,88.33,72.73,81.82
100,6,0,0,25,27.27,36.36
101,77,57.83,74,88.33,90.91,81.82
102,87,100,91.5,0,0,0
103,82,95.18,48,83.33,90.91,90.91
104,55,62.65,51,18.33,18.18,18.18
105,82,78.31,63,91.67,81.82,90.91
106,72,68.67,53,90,72.73,72.73
107,88,84.34,81,53.33,63.64,81.82
108,87,100,54,78.33,90.91,90.91
109,94,88.55,81,83.33,90.91,90.91
110,0,0,0,0,0,0
111,86,93.37,58,81.67,90.91,90.91
112,0,0,0,0,0,0
113,95,95.78,69,100,100,100
114,87,89.76,68,60,90.91,90.91
115,9,0,0,40,45.45,45.45
116,99,95.18,82.5,100,81.82,90.91
117,114,98.19,110.5,100,100,100
118,61,40.96,54,86.67,90.91,90.91
119,95,84.34,89,83.33,81.82,90.91
120,97,97.59,73,100,90.91,100
121,91,96.99,63,88.33,90.91,100
122,91,96.39,93,16.67,18.18,63.64
123,89,93.98,59.5,100,90.91,90.91
124,57,66.27,36,26.67,63.64,90.91
125,97,92.17,81,96.67,90.91,90.91
126,82,65.66,77,95,72.73,81.82
127,51,45.78,32,65,90.91,90.91
128,53,58.64,53,8.33,18.18,18.18
129,81,75.3,66,78.33,90.91,100
130,82,83.73,65,60,72.73,90.91
